Start,Ende,TOP,Thema
2025-10-08 13:00:00,2025-10-08T14:40:00.000,TOP 1,Befragung der Bundesregierung (BMFTR und BMUKN)
2025-10-08 14:40:00,2025-10-08T15:25:00.000,TOP 2,Fragestunde
2025-10-08 15:25:00,2025-10-08T16:50:00.000,ZP 1,Aktuelle Stunde - Zwei Jahre nach dem Hamas-Terror
2025-10-08 16:50:00,2025-10-08T17:25:00.000,TOP 3,Änderung des Staatsangehörigkeitsgesetzes
2025-10-08 17:25:00,2025-10-08T18:00:00.000,TOP 4,Steuerrecht
2025-10-08 18:00:00,2025-10-08T18:35:00.000,TOP 5,Steueränderungsgesetz 2025
2025-10-08 18:35:00,2025-10-08T19:15:00.000,TOP 6,Altersversorgung der Mitglieder des Deutschen Bundestages
2025-10-09 09:00:00,2025-10-09T10:15:00.000,TOP 7,GEAS-Anpassungsgesetz und GEAS-Anpassungsfolgegesetz
2025-10-09 10:15:00,2025-10-09T11:30:00.000,ZP 2,Artikel 3 GG - Einfügung des Merkmals sexuelle Identität
2025-10-09 11:30:00,2025-10-09T12:50:00.000,TOP 9,Wohnungsbau und Wohnraumsicherung
2025-10-09 12:50:00,2025-10-09T13:55:00.000,TOP 10,Migrationswende
2025-10-09 13:55:00,2025-10-09T14:10:00.000,"TOP 39, ZP 3, ZP 4 b, c",Überweisungen im vereinfachten Verfahren
2025-10-09 13:55:00,2025-10-09T14:00:00.000,"TOP 40, ZP 4 a",Abschließende Beratungen ohne Aussprache
2025-10-09 14:00:00,2025-10-09T14:05:00.000,TOP 11,Einsetzung von und Wahlen zu Gremien
2025-10-09 14:05:00,2025-10-09T15:10:00.000,ZP 5,Aktuelle Stunde - Deutsches Nein zur EU-Chatkontrolle
2025-10-09 15:10:00,2025-10-09T15:45:00.000,TOP 12,Pflegefachassistenzausbildung
2025-10-09 15:45:00,2025-10-09T16:20:00.000,TOP 13,35 Jahre Deutsche Einheit - Gleichwertige Lebensverhältnisse
2025-10-09 16:20:00,2025-10-09T16:55:00.000,TOP 36,Vergabe und Beschaffung öffentlicher Aufträge
2025-10-09 16:55:00,2025-10-09T17:30:00.000,TOP 15,Sanierung von Sportstätten
2025-10-09 17:30:00,2025-10-09T18:05:00.000,TOP 14,EU-Richtlinie über Verbraucherkreditverträge
2025-10-09 18:05:00,2025-10-09T18:40:00.000,TOP 17,Familienpolitik
2025-10-09 18:40:00,2025-10-09T19:15:00.000,TOP 16,Infrastrukturinvestitionen von Ländern und Kommunen
2025-10-09 19:15:00,2025-10-09T19:30:00.000,"ZP 12, TOP 13",Aufhebung der Immunität
2025-10-09 19:15:00,2025-10-09T19:55:00.000,TOP 19,Bundesteilhabegesetz
2025-10-09 19:55:00,2025-10-09T20:15:00.000,TOP 20,Energiesteuer- und Stromsteuergesetz
2025-10-09 20:15:00,2025-10-09T20:40:00.000,TOP 21,Finanzierung der KV-Beiträge für Bürgergeldempfänger
2025-10-09 20:40:00,2025-10-09T21:00:00.000,TOP 22,Militärische Sicherheit in der Bundeswehr
2025-10-09 21:00:00,2025-10-09T21:25:00.000,TOP 23,Preiserhöhungen bei Lebensmitteln
2025-10-09 21:25:00,2025-10-09T21:40:00.000,TOP 24,Ausbau der Wärmeversorgung
2025-10-09 21:40:00,2025-10-09T21:55:00.000,"TOP 25, ZP 7",Digitalisierung der Schwarzarbeitsbekämpfung
2025-10-09 21:55:00,2025-10-09T22:15:00.000,TOP 26,Änderung der Internationalen Gesundheitsvorschriften
2025-10-09 22:15:00,2025-10-09T22:30:00.000,TOP 27,Neue-psychoaktive-Stoffe-Gesetz
2025-10-09 22:30:00,2025-10-09T22:45:00.000,TOP 28,"Sicherheitsüberprüfungsgesetz, Beamtenrecht"
2025-10-09 22:45:00,2025-10-09T23:00:00.000,TOP 29,SGB VI-Anpassungsgesetz
2025-10-09 23:00:00,2025-10-09T23:20:00.000,TOP 30,Internationales Übereinkommen über den Arbeitsschutz
2025-10-09 23:20:00,2025-10-09T23:40:00.000,TOP 31,"E-Akte in der Justiz, Gerichtsdolmetscher, Stiftungsregisterrecht"
2025-10-10 09:00:00,2025-10-10T10:05:00.000,TOP 32,Tariftreuegesetz
2025-10-10 10:05:00,2025-10-10T11:10:00.000,ZP 11,StPO - Hausdurchsuchung bei Ehrverletzungsdelikten
2025-10-10 11:10:00,2025-10-10T11:45:00.000,TOP 34,35 Jahre Deutsche Einheit
2025-10-10 11:45:00,2025-10-10T12:20:00.000,TOP 35,Elterngeld
2025-10-10 12:20:00,2025-10-10T12:50:00.000,"TOP 18, ZP 6",Wirtschaftspartnerschafts- und Investitionsschutzabkommen
2025-10-10 12:50:00,2025-10-10T13:30:00.000,"TOP 37, ZP 8, TOP 9",Schieneninfrastruktur
2025-10-10 13:30:00,2025-10-10T14:05:00.000,TOP 38,Übertragungsnetzkosten für das Jahr 2026
2025-10-10 14:05:00,2025-10-10T15:15:00.000,ZP 10,Aktuelle Stunde - Soziale und ökologische Industriepolitik
2025-10-15 13:00:00,2025-10-15T14:40:00.000,TOP 1,Befragung der Bundesregierung (BMJV und BMV)
2025-10-15 14:40:00,2025-10-15T15:25:00.000,TOP 2,Fragestunde
2025-10-15 15:25:00,2025-10-15T16:35:00.000,TOP 3,Vereinbarte Debatte 80 Jahre Vereinte Nationen
2025-10-15 16:35:00,2025-10-15T17:10:00.000,TOP 4,Bundeswehreinsatz EUNAVFOR MED IRINI
2025-10-15 17:10:00,2025-10-15T17:45:00.000,TOP 5,Zahlungen an internationale Organisationen und NGOs
2025-10-15 17:45:00,2025-10-15T18:20:00.000,TOP 6,Bundeswehreinsatz SEA GUARDIAN im Mittelmeer
2025-10-16 09:00:00,2025-10-16T11:10:00.000,TOP 7,Regierungserklärung zum Europäischen Rat
2025-10-16 11:10:00,2025-10-16T12:20:00.000,TOP 8,Antifa-Verbote
2025-10-16 12:20:00,2025-10-16T13:30:00.000,TOP 9,Wehrdienst-Modernisierungsgesetz
2025-10-16 13:30:00,2025-10-16T14:40:00.000,TOP 10,"Notfallversorgung, Kranken- und Pflegeversicherung"
2025-10-16 14:40:00,2025-10-16T14:45:00.000,TOP 33,Überweisungen im vereinfachten Verfahren
2025-10-16 14:45:00,2025-10-16T15:05:00.000,TOP 34,Abschließende Beratungen ohne Aussprache
2025-10-16 15:05:00,2025-10-16T15:10:00.000,TOP 11,Wahlen zu Gremien
2025-10-16 15:10:00,2025-10-16T15:55:00.000,TOP 12,Tätigkeitsbericht des Petitionsausschusses 2024
2025-10-16 15:55:00,2025-10-16T16:30:00.000,TOP 13,Bürgergeld
2025-10-16 16:30:00,2025-10-16T17:05:00.000,TOP 14,Bundeswehreinsatz EUNAVFOR ASPIDES
2025-10-16 17:05:00,2025-10-16T17:40:00.000,TOP 15,Finanzierung des Bildungssystems
2025-10-16 17:40:00,2025-10-16T18:15:00.000,TOP 16,Bundeswehreinsatz in Südsudan (UNMISS)
2025-10-16 18:15:00,2025-10-16T18:50:00.000,TOP 17,Luftverkehrsteuer
2025-10-16 18:50:00,2025-10-16T19:25:00.000,TOP 18,"Änderung der GO-BT, Änderung d. Abgeordnetengesetzes"
2025-10-16 19:25:00,2025-10-16T20:00:00.000,TOP 19,"Stahlstandorte, Automobilindustrie"
2025-10-16 20:00:00,2025-10-16T20:25:00.000,TOP 20,Paketboten-Schutz-Gesetz
2025-10-16 20:25:00,2025-10-16T20:50:00.000,TOP 21,Entfernung von Verfassungsfeinden aus der Bundeswehr
2025-10-16 20:50:00,2025-10-16T21:15:00.000,TOP 22,Nationales Once-Only-Technical-System
2025-10-16 21:15:00,2025-10-16T21:40:00.000,TOP 23,Zeitumstellung
2025-10-16 21:40:00,2025-10-16T22:05:00.000,TOP 24,Änderung des Elektro- und Elektronikgerätegesetzes
2025-10-16 22:05:00,2025-10-16T22:30:00.000,TOP 25,Bekämpfung d. Verabreichung sogenannter K.O.-Tropfen
2025-10-17 09:00:00,2025-10-17T10:10:00.000,TOP 26,Modernisierungsagenda für Staat und Verwaltung
2025-10-17 10:10:00,2025-10-17T11:20:00.000,TOP 27,Abgeordnete in die gesetzliche Rentenversicherung
2025-10-17 11:20:00,2025-10-17T11:55:00.000,TOP 28,Bericht der Beauftragten für Ostdeutschland 2025
2025-10-17 11:55:00,2025-10-17T12:30:00.000,TOP 29,BAföG-Reform
2025-10-17 12:30:00,2025-10-17T13:05:00.000,TOP 30,Umsetzung der Verbraucherrechte-Richtlinie
2025-10-17 13:05:00,2025-10-17T13:40:00.000,TOP 31,Agrardieselrückerstattung
2025-10-17 13:40:00,2025-10-17T14:15:00.000,TOP 32,Änderung d. Gesetzes gegen den unlauteren Wettbewerb
